工作流,修改类别,问题详细描述,BUG发现日期,BUG等级,解决方案,修改人,修改日期,修改适用范围,修改的基线版本,目标版本,备注
minas_vss,缺陷修复,修改了空中链路业务中，当基站不支持小基站信号发送方式配置时，不弹出“不支持的业务”提示框,,,,樊浩宇,2013-9-9,,01.01.03.05,01.01.03.06,
minas_vss,缺陷修复,修改了mcbts-protocol.xml中基站重启的配置,,,,樊浩宇,2013-9-9,,01.01.03.05,01.01.03.06,
minas_vss,缺陷修复,"性能日志配置,因为业务逻辑有变动，所以该业务不再属于简单业务，因此为业务添加了单独的对话框，并单独实现了facade和service",,,,樊浩宇,2013-9-9,,01.01.03.05,01.01.03.06,
minas_vss,功能新增,"开发SDMA后台业务逻辑 ,验证后台数据是否正确下发,minas数据库在增加表：mcbts_sdma",,,,方平,2013-9-9,,01.01.03.05,01.01.03.06,
minas_vss,缺陷修复,vlan配置中的“删除配置信息的功能”,,,,朱晓战,2013-9-9,,01.01.03.05,01.01.03.06,
minas_vss,缺陷修复,温度监控配置中“输入为空时的提示信息”,,,,朱晓战,2013-9-9,,01.01.03.05,01.01.03.06,
minas_vss,缺陷修复,备份SAG参数设置的“Z模块没有默认值”,,,,朱晓战,2013-9-9,,01.01.03.05,01.01.03.06,
minas_vss,缺陷修复,RRU和L3配置中都具有光模块告警门限配置,,,,朱晓战,2013-9-9,,01.01.03.05,01.01.03.06,
minas_vss,缺陷修复,温度监控配置的“低温报警阈值应大于低温关闭阈值，高温报警阈值应该小于高温关闭阈值”,,,,朱晓战,2013-9-9,,01.01.03.05,01.01.03.06,
minas_vss,功能新增,数据服务中添加了网口2（0x07f4）和IPv6配置（0x07f8）,,,,朱晓战,2013-9-9,,01.01.03.05,01.01.03.06,
minas_vss,功能新增,配置验证中增加了对网口2（0x07f6）和IPv6的验证（0x07fa）,,,,朱晓战,2013-9-9,,01.01.03.05,01.01.03.06,
minas_vss,功能新增,配置验证中“空中链路的验证信息”,,,,朱晓战,2013-9-9,,01.01.03.05,01.01.03.06,
minas_vss,功能新增,同步中增加了网口2（0x07f6）和IPv6（0x07fa）,,,,朱晓战,2013-9-9,,01.01.03.05,01.01.03.06,
minas_vss,缺陷修复,邻接表中在添加基站时过滤掉已经添加的基站,,,,朱晓战,2013-9-9,,01.01.03.05,01.01.03.06,
minas_vss,功能新增,"基站列表新增排序,MCU和FPGA字段",,,,田策,2013-9-9,,01.01.03.05,01.01.03.06,
minas_vss,功能新增,基站模板业务针对小基站进行了优化,,,,田策,2013-9-9,,01.01.03.05,01.01.03.06,
minas_vss,缺陷修复,Telnet协议编码和解码进行了修改,,,,田策,2013-9-9,,01.01.03.05,01.01.03.06,
minas_vss,功能新增,增加EMS向BTS方向的同步功能,,,,田策,2013-9-9,,01.01.03.05,01.01.03.06,
minas_vss,缺陷修复,优化终端的搜索功能,,,,田策,2013-9-9,,01.01.03.05,01.01.03.06,
minas_vss,缺陷修复,优化系统有效频点的界面,,,,田策,2013-9-9,,01.01.03.05,01.01.03.06,
minas_vss,缺陷修复,基站版本管理去掉查看功能,,,,田策,2013-9-9,,01.01.03.05,01.01.03.06,
minas_vss,缺陷修复,去掉基站升级中的CPLD选项,,,,田策,2013-9-9,,01.01.03.05,01.01.03.06,
minas_vss,缺陷修复,"BTS状态查询,启动源反了,已修复",,,,朱晓战,2013-9-9,,01.01.03.05,01.01.03.06,
minas_vss,缺陷修复,"修复数据库脚本在linux下的编码格式,避免出现乱码",,,,田策,2013-9-9,,01.01.03.05,01.01.03.06,
minas_vss,功能新增,修改基站列表显示，增加基站告警状态直观显示,,,,陈俊华,2013-9-9,,01.01.03.05,01.01.03.06,
minas_vss,缺陷修复,修改基站注册模块的在未设备未应答情况下状态始终显示注册中的问题,,,,陈俊华,2013-9-9,,01.01.03.05,01.01.03.06,
minas_vss,缺陷修复,优化基站注册流程，增加流控,,,,陈俊华,2013-9-16,,01.01.03.05,01.01.03.06,
minas_vss,缺陷修复,修改基站数据下发流程，在基站连接网管后下发基站数据,,,,陈俊华,2013-9-16,,01.01.03.05,01.01.03.06,
,,,,,,,,,,,
minas_vss,缺陷修复,新增基站后基站默认为在线管理模式，离线管理模式下忽略所有基站消息,,,,陈俊华,2013-9-16,,01.01.03.06,01.01.03.07,
minas_vss,功能新增,数据包过滤过滤准则配置功能,,,,方平,2013-9-22,,01.01.03.06,01.01.03.07,
minas_vss,缺陷修复,"修改isSync获取有误,修改配置数据包过滤规则给数据库,并判断是否下发给所有基站中的config",,,,方平,2013-9-22,,01.01.03.06,01.01.03.07,
minas_vss,缺陷修复,"增加Sequence系列,保证配置数据包过滤规则给数据库数据的正确",,,,方平,2013-9-22,,01.01.03.06,01.01.03.07,
minas_vss,功能新增,增加切换优化开关配置功能,,,,樊浩宇,2013-9-22,,01.01.03.06,01.01.03.07,
minas_vss,缺陷修复,修改空中链路业务中，显示错误对话框中出现“java.Lang.Exception”的问题,,,,樊浩宇,2013-9-22,,01.01.03.06,01.01.03.07,
minas_vss,新增功能,增加了数据包过滤准则下发,,,,朱晓战,2013-9-22,,01.01.03.06,01.01.03.07,
minas_vss,缺陷修复,修改配置验证中有时无法查看空中链路验证详细信息的问题,,,,朱晓战,2013-9-22,,01.01.03.06,01.01.03.07,
minas_vss,新增功能,"在基站列表中增加新列,并展现w0校验状态失败为黄色",,,,田策,2013-9-18,,01.01.03.06,01.01.03.07,
minas_vss,缺陷修复,修改了性能日志配置业务的问题：将数据插入表中时，多出“bizName”字段,,,,樊浩宇,2013-9-23,,01.01.03.07,01.01.03.08,
minas_vss,新增功能,修改基站列表的列布局,,,,田策,2013-9-26,,01.01.03.07,01.01.03.08,
minas_vss,新增功能,新增基站批量升级功能,,,,田策,2013-9-26,,01.01.03.07,01.01.03.08,
minas_vss,缺陷修复,修改故障弱化空下拉菜单报错不正确的问题,,,,田策,2013-9-26,,01.01.03.07,01.01.03.08,
minas_vss,缺陷修复,修改基站模板中空中链路无法保存配置的问题,,,,田策,2013-9-26,,01.01.03.07,01.01.03.08,
minas_vss,缺陷修复,修改基站模板类型显示错误问题,,,,田策,2013-9-26,,01.01.03.07,01.01.03.08,
minas_vss,缺陷修复,修改当配置面板打开“BTS在线终端列表后”，面板下的以下几乎所有界面发生改变，超过边界的问题,,,,田策,2013-9-26,,01.01.03.07,01.01.03.08,
minas_vss,缺陷修复,将SDMA配置：各参数配置范围改为与老网管一样。,,,,方平,2013-9-26,,01.01.03.07,01.01.03.08,
minas_vss,缺陷修复,将N=1参数配置的各参数配置范围：各参数配置范围改为与老网管一样。,,,,方平,2013-9-26,,01.01.03.07,01.01.03.08,
minas_vss,缺陷修复,数据包过滤过滤准则下发中显示不正确,,,,朱晓战,2013-9-26,,01.01.03.07,01.01.03.08,
minas_vss,缺陷修复,邻接表配置个数限制,,,,朱晓战,2013-9-26,,01.01.03.07,01.01.03.08,
minas_vss,缺陷修复,系统有效频点中无法修改新增的有效频点,,,,朱晓战,2013-9-26,,01.01.03.07,01.01.03.08,
